cve_ent,entidad,cve_plantel,plantel,periodo_anual,Porcentaje_de_abandono_escolar
1,Aguascalientes,63,Aguascalientes II,2022-2023,8.5
1,Aguascalientes,284,Aguascalientes III,2022-2023,13.9
1,Aguascalientes,318,Aguascalientes IV,2022-2023,9.1
1,Aguascalientes,247,Ing. Miguel �ngel Barberena Vega,2022-2023,9.1
1,Aguascalientes,319,Pabellon de Arteaga,2022-2023,12.6
1,Aguascalientes,16,Prof. J. Refugio Esparza Reyes,2022-2023,17.6
2,Aguascalientes,285,Tepezal�,2022-2023,10
2,Baja California,64,Ensenada,2022-2023,20.2
2,Baja California,215,Ing. C�sar Moreno Mart�nez de Escobar,2022-2023,22.6
2,Baja California,17,Mexicali I,2022-2023,19
2,Baja California,154,Mexicali II,2022-2023,20
2,Baja California,18,Tijuana I,2022-2023,12.5
2,Baja California,143,Tijuana II,2022-2023,18.7
3,Baja California Sur,19,La Paz,2022-2023,20.5
3,Baja California Sur,282,San Jos� del Cabo,2022-2023,8.6
4,Campeche,21,Ciudad del Carmen,2022-2023,18.8
4,Campeche,272,Dzitbalch� Calkin�,2022-2023,11.4
4,Campeche,20,Lic. Guillermo Gonz�lez Galera,2022-2023,17.5
7,Chiapas,331,Altamirano,2022-2023,12.2
7,Chiapas,22,Chiapa de Corzo,2022-2023,15.6
7,Chiapas,70,Comit�n,2022-2023,12.8
7,Chiapas,67,Huixtla,2022-2023,18.9
7,Chiapas,262,Ocosingo,2022-2023,12.2
7,Chiapas,69,Palenque,2022-2023,10.9
7,Chiapas,340,Pichucalco,2022-2023,30.9
7,Chiapas,171,San Crist�bal de las Casas,2022-2023,16.2
7,Chiapas,325,Tapachula,2022-2023,23.1
7,Chiapas,170,Tonal�-Chiapas,2022-2023,15.6
7,Chiapas,68,Tuxtla Chico,2022-2023,20.9
7,Chiapas,312,Tuxtla Guti�rrez,2022-2023,12.2
8,Chihuahua,25,Chihuahua I,2022-2023,25.4
8,Chihuahua,219,Chihuahua II,2022-2023,29.2
8,Chihuahua,218,Ciudad Cuauht�moc,2022-2023,17.4
8,Chihuahua,208,Ciudad Delicias,2022-2023,31.7
8,Chihuahua,26,Ciudad Ju�rez I,2022-2023,20.1
8,Chihuahua,207,Ciudad Ju�rez II,2022-2023,16.2
8,Chihuahua,323,Ju�rez III,2022-2023,15
8,Chihuahua,156,Parral,2022-2023,19.9
9,Ciudad de M�xico,132,Aeropuerto,2022-2023,21.1
9,Ciudad de M�xico,220,Alvaro Obreg�n I,2022-2023,17
9,Ciudad de M�xico,221,Alvaro Obreg�n II,2022-2023,23
9,Ciudad de M�xico,4,Arag�n,2022-2023,32.3
9,Ciudad de M�xico,106,Azcapotzalco,2022-2023,23.3
9,Ciudad de M�xico,11,Aztahuac�n,2022-2023,28.4
9,Ciudad de M�xico,161,Centro M�xico Canad� del CONALEP,2022-2023,25.3
