Classicism, Racism, Sexism, other-(hate-speech), inappropriate-content, none
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,1,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
